Eatery_Id,Eatery_Name,City,Country_Code,Cuisines,Price_Range,Average_Cost_For_Two,Online_Delivery,Deliverying_Available,Table_Booking_Available,Aggregate_Rating,Rating_Text,Votes,Currency
308839,Duggal Snacks,New Delhi,1,Street Food,1,50,0,0,0,3.6,Good,32,Rs.
18440191,Granny's Flavour,New Delhi,1,Street Food,1,150,0,0,0,3.5,Good,16,Rs.
18358841,Cafe Cook,New Delhi,1,Fast Food,1,400,1,0,0,2.8,Average,15,Rs.
18358841,Cafe Cook,New Delhi,1,Desserts,1,400,1,0,0,2.8,Average,15,Rs.
308844,Zaiqa Kathi Roll & Momos,New Delhi,1,Street Food,1,150,0,0,0,3.3,Average,16,Rs.
18265707,Desi Jugaad,New Delhi,1,North Indian,1,350,0,0,0,3.2,Average,12,Rs.
18265707,Desi Jugaad,New Delhi,1,Chinese,1,350,0,0,0,3.2,Average,12,Rs.
301056,Bikaner Sweets,New Delhi,1,Mithai,1,100,0,0,0,2.8,Average,14,Rs.
18458961,Royal India Food Plaza,New Delhi,1,North Indian,1,400,0,0,0,3.2,Average,12,Rs.
308831,New Madras Cafe,New Delhi,1,South Indian,1,250,0,0,0,2.8,Average,11,Rs.
18368006,Food Trax,New Delhi,1,Chinese,1,300,0,0,0,2.9,Average,4,Rs.
5186,Sanju Cool & Hot Hut,New Delhi,1,North Indian,1,250,0,0,0,2.8,Average,8,Rs.
5186,Sanju Cool & Hot Hut,New Delhi,1,Street Food,1,250,0,0,0,2.8,Average,8,Rs.
18291201,Mitra Di Chaap,New Delhi,1,Street Food,1,300,0,0,0,3.0,Average,5,Rs.
18291201,Mitra Di Chaap,New Delhi,1,Fast Food,1,300,0,0,0,3.0,Average,5,Rs.
18397140,La-Nawaab,New Delhi,1,North Indian,2,500,0,0,0,3.0,Average,5,Rs.
18397140,La-Nawaab,New Delhi,1,Mughlai,2,500,0,0,0,3.0,Average,5,Rs.
18397140,La-Nawaab,New Delhi,1,Chinese,2,500,0,0,0,3.0,Average,5,Rs.
